ID,Ph,Calcium(in ppm),Magnesium(in ppm),Chlorine(in ppm),Benzene(in ppb),THM(in ppb),Copper(in ppm),Nitrate(in ppm),Drinking Purpose,Ailments,Cement Industry Purpose,Irrigation Purpose
2385,9.52123,363.53287,394.85989,421.72153,188.14189,103.0364,76.10636,279.89136,Yes,Safe,Yes,Yes
2386,6.45289,55.38572,34.8527,125.18946,4.90503,1.08812,0.13883,101.95076,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2387,1.1418,449.49636,204.89826,243.97499,101.87174,247.45195,5.30157,380.99532,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2388,5.68466,41.54967,38.59759,132.03666,1.2858,1.91369,0.00784,112.00979,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2389,0.4752,425.59036,264.24369,242.98964,295.07139,189.27128,49.46425,22.53119,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2390,10.15167,134.9552,206.93111,71.86627,14.51545,265.24542,38.24492,54.49803,Yes,Safe,Yes,Yes
2391,10.1278,132.27673,106.59813,53.54168,35.67501,7.23777,21.09317,196.75832,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Diarrhoea,Methemoglobinemia",Yes,No
2392,5.36499,44.30024,45.2533,139.12177,4.43959,6.21173,0.06713,40.79659,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2393,6.66776,56.30793,44.24922,126.35121,1.25519,2.74191,0.12341,77.51828,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2394,10.22377,210.86563,125.25269,163.43016,115.04105,143.08533,8.38557,135.42514,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2395,0.0339,354.47951,216.21571,58.90146,255.69676,273.66375,58.03301,154.97169,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2396,6.72838,46.23023,49.23095,122.56312,0.71567,1.49976,0.03024,84.87478,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2397,7.79281,47.59268,170.35919,127.90354,96.13526,20.07286,28.19241,100.23009,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2398,7.60251,72.7596,28.04315,2.80885,3.2299,0.53041,0.4743,9.62613,Yes,Safe,Yes,No
2399,8.16347,26.44905,93.41468,186.63709,68.16547,121.21152,13.17329,29.29406,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2400,9.77765,24.22757,188.47574,129.59908,192.86105,169.87783,22.94832,258.23246,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2401,6.85311,55.96889,46.36069,148.19763,0.66625,9.65087,0.09877,100.64762,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2402,7.00924,31.99945,29.1598,3.44658,2.16559,2.53914,0.12405,5.58269,Yes,Safe,Yes,No
2403,7.94191,68.74111,27.37628,2.1366,1.14062,9.25037,1.04904,1.01284,Yes,Safe,Yes,No
2404,6.43703,31.35492,45.68199,148.45209,3.18401,4.53833,0.10953,57.04041,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2405,11.08867,125.27636,96.59916,41.01944,20.11871,178.20586,11.85664,40.01682,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2406,7.52675,256.43515,25.13367,42.19713,143.51388,162.31323,18.5019,266.14159,No,"Burns in mouth and throat,Stomach pain,Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2407,8.08656,28.95423,18.44663,3.21789,0.06785,7.16772,0.96998,2.44047,Yes,Safe,Yes,No
2408,7.69588,58.41076,20.33325,2.75642,2.37648,0.72187,1.62304,5.64438,Yes,Safe,Yes,No
2409,10.27606,135.65962,174.60173,103.71225,68.69147,36.29921,12.75893,84.14413,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2410,6.5217,30.19374,26.52747,2.1258,4.47307,8.2248,0.73904,8.81571,Yes,Safe,No,No
2411,6.80081,53.6421,16.3766,2.69532,2.60021,2.15586,1.73038,9.31534,Yes,Safe,No,No
2412,9.45054,284.85717,343.31134,209.44468,388.60345,163.99374,7.31885,156.80521,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2413,6.77428,57.96871,44.79652,104.25095,2.60442,8.1794,0.15495,127.86104,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2414,8.01091,52.59711,22.98956,3.0087,1.55427,4.96876,0.06528,6.96375,Yes,Safe,Yes,No
2415,7.42869,136.61619,121.70601,142.24,28.10426,196.49704,17.61718,190.38022,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2416,6.57395,59.32269,43.73756,57.9647,0.41621,4.44526,0.19172,69.663,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2417,6.54809,68.54039,17.70679,3.90999,0.85373,0.22143,0.22669,6.981,Yes,Safe,No,No
2418,8.78427,130.07463,356.13785,141.52627,97.896,129.19509,7.88495,271.65329,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2419,7.53071,45.0268,10.95138,3.10779,4.4628,9.06344,1.33791,9.27054,Yes,Safe,Yes,No
2420,11.44838,169.93408,116.8099,40.59126,90.7926,182.00753,4.78674,258.04575,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2421,9.2664,85.37518,183.75051,99.91902,162.77288,73.00208,29.84446,274.04345,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2422,5.15877,48.237,51.38787,98.43251,0.8135,1.17463,0.16704,101.99649,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2423,6.54588,53.14595,10.36315,2.5912,1.57185,9.30189,0.91887,4.21905,Yes,Safe,No,No
2424,10.71784,105.1317,110.61076,146.56057,64.06164,67.78467,27.01713,127.84522,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2425,6.828,206.37474,303.48965,390.52599,275.40129,278.00318,93.95989,286.59881,Yes,Safe,Yes,Yes
2426,7.64752,24.76971,28.65782,2.06575,2.44285,7.97675,1.91634,7.78361,Yes,Safe,Yes,No
2427,9.24997,95.9976,128.63231,32.19964,199.56579,27.47505,12.23153,126.68865,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2428,10.01001,436.6575,218.35366,105.54545,298.47558,386.22743,11.51382,211.54981,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2429,8.42673,26.38829,26.04687,3.26272,4.88788,2.55433,0.78443,1.98074,Yes,Safe,Yes,No
2430,4.66422,175.75293,397.14967,464.93506,237.46661,256.38286,37.68017,213.35489,Yes,Safe,Yes,Yes
2431,6.40489,389.88319,46.9921,138.96671,301.7289,33.66067,27.9519,61.19067,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2432,3.07636,147.15398,330.69383,312.66769,139.21255,322.16724,69.55399,1.46563,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea",No,No
2433,11.92976,7.15743,197.68062,38.24823,48.71396,146.40902,11.03558,279.48808,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2434,6.35596,33.06822,35.18706,143.51463,2.13228,1.26821,0.08349,37.76603,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2435,6.71043,47.33494,53.72178,122.63731,4.73397,6.68429,0.02848,98.86475,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2436,9.59544,296.82292,133.04369,84.51204,194.01655,72.81076,21.24058,19.83495,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2437,8.33584,220.90813,166.75649,104.95022,34.5963,197.04503,31.86663,72.63987,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2438,7.3278,144.88413,3.31072,29.13876,125.89522,143.04076,5.93472,270.90445,No,"Burns in mouth and throat,Stomach pain,Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2439,6.00957,38.52325,49.76349,86.68628,4.44784,0.28924,0.12517,56.80402,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2440,8.26875,286.9881,71.07722,396.41239,107.79023,32.89442,8.80607,453.82546,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2441,6.80832,44.19847,40.61082,64.62785,0.06119,5.97307,0.05385,32.73452,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2442,6.77109,43.75431,15.72039,2.9425,2.8919,8.8732,1.04887,3.80612,Yes,Safe,No,No
2443,8.34799,143.0856,32.64779,76.90084,83.86126,112.55405,16.59986,34.92598,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2444,9.85519,135.98313,93.06017,50.45728,92.72215,35.80988,3.1558,108.92267,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2445,5.17681,43.52769,35.82154,136.32901,3.47206,8.93015,0.15588,86.35699,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2446,7.98761,74.76017,18.16583,3.84393,3.68919,5.2249,0.73775,4.94808,Yes,Safe,Yes,No
2447,11.86288,239.83196,198.64129,75.56568,53.30586,76.86468,21.49811,2.74367,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea",Yes,No
2448,8.05785,245.00984,36.64588,33.15646,70.30365,193.22787,14.66309,152.65794,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2449,7.6585,75.55767,344.52036,482.59516,93.97368,342.98792,93.60697,39.38772,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2450,6.8509,35.30537,31.38674,53.33414,2.53166,7.53159,0.11457,129.14023,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2451,6.77286,348.00124,101.66132,370.24629,243.87084,32.06846,54.58193,396.55089,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2452,7.75481,51.83768,28.27995,3.71178,4.8679,8.51983,1.69781,9.6793,Yes,Safe,Yes,No
2453,6.56866,288.61449,24.6316,30.02597,58.76232,309.8811,51.95531,410.57602,No,"Burns in mouth and throat,Stomach pain,Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2454,6.02978,51.89393,31.87196,105.35571,0.34688,8.5298,0.01418,89.51707,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2455,11.80868,139.37993,342.6924,20.49031,376.1741,1.52479,85.33662,448.41553,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Diarrhoea,Methemoglobinemia",No,No
2456,7.08157,143.57029,170.70144,85.04567,162.61714,135.36998,25.43522,271.43751,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2457,6.9894,74.87301,11.8525,3.95934,2.64122,8.15783,1.00708,1.36468,Yes,Safe,No,No
2458,8.04604,41.34559,27.63524,2.7149,3.65767,6.0586,0.07837,6.28601,Yes,Safe,Yes,No
2459,6.57906,149.16702,189.91597,81.32487,333.15948,340.62142,74.3725,371.86763,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2460,11.51051,223.21642,124.82838,84.64516,97.61822,32.67541,10.72526,234.20352,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2461,1.69919,47.11789,88.28004,464.72333,195.41597,167.29667,77.84176,200.92882,No,"Breathing Difficulty,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2462,7.35013,196.19931,184.10041,37.29973,175.81563,70.04829,12.35901,279.43369,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2463,10.72485,41.51837,90.99689,41.94871,108.65648,34.94736,8.24084,246.49406,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2464,11.51841,152.8905,46.69936,224.24309,355.44521,383.68401,83.94227,150.49823,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2465,11.76412,74.63579,26.87619,3.86896,158.54642,192.43499,15.70912,160.98884,No,"Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2466,7.38097,26.00992,13.67174,2.06551,4.2973,1.44316,0.35504,4.58455,Yes,Safe,Yes,No
2467,9.96245,45.81183,57.26944,54.91504,180.16759,100.44853,8.73847,13.20012,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2468,6.98168,23.22993,20.72228,3.41598,4.7707,1.1614,0.97505,4.42285,Yes,Safe,No,No
2469,7.23669,22.71989,11.92154,2.07362,4.17195,2.23029,0.2962,2.97347,Yes,Safe,Yes,No
2470,7.08321,71.73242,10.57772,3.16887,2.67339,1.63742,1.7779,6.18729,Yes,Safe,Yes,No
2471,12.48646,309.17851,354.24745,52.74327,147.45962,162.5921,72.6861,285.86291,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2472,7.92038,50.56458,15.658,2.05515,3.52577,3.24971,0.26652,3.625,Yes,Safe,Yes,No
2473,7.25917,44.43145,24.90758,2.62519,2.19091,8.24808,0.50827,7.51057,Yes,Safe,Yes,No
2474,1.40692,125.02519,399.45767,458.07224,289.30572,280.21639,27.42329,219.23092,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2475,10.43127,188.32915,168.0582,100.4155,107.18594,133.40577,25.43884,293.10975,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2476,10.62769,278.86515,103.06051,493.32799,246.05058,311.47586,54.36488,163.75657,Yes,Safe,Yes,Yes
2477,8.05808,38.6435,18.11559,3.77473,4.4266,5.04198,0.66689,7.30519,Yes,Safe,Yes,No
2478,8.88808,173.67026,39.35179,74.17815,138.69434,87.06584,3.67468,83.3011,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2479,7.13047,63.01255,29.05183,2.02133,3.26269,0.85415,0.84233,9.38193,Yes,Safe,Yes,No
2480,9.0488,120.81268,176.48513,142.63947,141.00105,35.75149,21.96666,106.40372,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2481,4.04191,264.42242,92.77859,316.83995,212.74339,274.16684,41.64943,170.89382,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2482,6.64106,35.02975,15.64761,3.0649,3.38475,9.0696,0.4366,9.83354,Yes,Safe,No,No
2483,2.65072,302.6511,120.64759,331.67676,141.91352,62.09341,76.46243,214.49882,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2484,9.89515,233.04666,154.92873,466.97325,233.42916,120.79545,63.52573,79.92749,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2485,6.87667,39.83945,23.96886,2.17355,4.25027,9.24681,0.52,6.13884,Yes,Safe,No,No
2486,0.17665,34.61962,242.15102,96.33956,136.96971,166.12168,84.3818,211.52268,No,"Breathing Difficulty,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2487,9.9015,484.21194,170.47356,309.01709,318.80772,235.20815,50.58022,204.1009,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2488,7.33999,26.00931,12.01706,2.63882,4.50747,7.08303,1.70096,2.18793,Yes,Safe,Yes,No
2489,4.21338,47.88865,392.18205,207.37081,48.41594,281.91774,18.35403,116.04832,No,"Breathing Difficulty,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2490,10.16609,143.44015,47.55227,196.15341,174.60269,206.33168,18.44973,352.65662,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2491,8.71211,293.8504,251.73008,448.00609,219.82996,125.56082,28.85772,447.28039,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2492,5.51208,41.10705,45.47605,95.89644,0.09226,3.77616,0.18116,67.67172,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2493,8.19,131.93531,106.01597,49.98525,76.59858,59.23917,25.54099,157.92783,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2494,7.74029,214.66271,116.52543,192.83664,41.88689,92.88443,17.57632,133.84289,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2495,6.98718,32.47111,17.04847,2.46639,3.64165,0.42797,0.51285,8.04761,Yes,Safe,No,No
2496,3.22187,336.24297,94.42011,198.97082,351.5571,353.22734,62.34959,153.18972,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2497,5.41313,42.63383,39.55145,64.53673,0.40648,1.55364,0.00375,107.39025,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2498,7.42356,298.85194,50.81408,108.33273,171.62874,64.92799,17.78507,43.07604,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2499,7.18054,53.40823,27.82013,2.68494,3.28584,3.79797,1.02454,7.7905,Yes,Safe,Yes,No
2500,7.80547,309.31969,220.60149,58.50781,100.56799,124.06278,60.93476,299.60415,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2501,5.38295,45.53653,46.27546,86.53568,0.41171,3.86428,0.15331,98.91203,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2502,6.30707,25.21969,170.65811,23.72076,352.94453,30.49999,70.0055,130.46897,No,"Breathing Difficulty,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2503,4.71316,245.42602,387.21643,317.47168,275.47272,192.0921,93.45334,420.49521,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2504,10.94013,43.4477,18.73988,116.03787,41.91921,44.93269,17.86999,212.81046,No,"Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2505,7.87181,30.35797,25.71388,2.91786,2.02856,2.28195,0.31595,0.68256,Yes,Safe,Yes,No
2506,7.11747,46.08643,23.79415,3.11608,1.66656,9.47855,0.79021,8.40567,Yes,Safe,Yes,No
2507,5.93029,432.45144,361.10585,251.28702,255.50519,166.93663,34.5353,89.74033,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2508,8.1396,164.24403,188.73807,177.48977,125.26784,8.24388,2.20153,45.6043,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Diarrhoea,Methemoglobinemia",Yes,No
2509,7.61489,117.19779,350.51051,295.65122,257.68726,241.94388,82.54494,214.18595,Yes,Safe,Yes,Yes
2510,2.68456,38.969,377.77408,160.15003,218.81642,303.23712,18.20334,236.43447,No,"Breathing Difficulty,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2511,6.17502,46.06055,38.57072,98.22179,2.71979,7.56361,0.08689,133.94691,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2512,6.75759,44.68939,58.78455,69.98115,1.35547,7.63365,0.00704,119.56933,No,"Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2513,5.07742,43.99232,50.36572,123.03488,2.66006,5.01106,0.01729,74.97585,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2514,8.95568,106.7385,103.17971,88.13529,76.7267,96.45543,18.25108,70.48996,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2515,5.58108,52.89688,58.44384,83.43012,2.65844,2.52205,0.03348,146.3427,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2516,8.22607,49.49062,20.76935,2.08834,4.97572,6.702,1.5053,0.34683,Yes,Safe,Yes,No
2517,8.35059,33.68927,14.07002,3.59001,4.14143,0.67708,1.35351,4.96114,Yes,Safe,Yes,No
2518,6.3994,34.13725,32.09018,112.74737,1.08287,1.18269,0.00952,96.21275,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2519,6.0851,31.48108,40.3748,120.77896,0.0908,4.81246,0.18824,48.07669,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2520,13.64918,79.55319,256.52038,270.71566,40.77201,26.9195,61.30414,184.64528,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2521,6.86084,39.47588,13.31949,2.6921,2.04727,0.27016,0.9515,0.11027,Yes,Safe,No,No
2522,4.68112,246.99533,89.49536,358.55481,101.10976,38.99337,26.85945,33.05125,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2523,7.19306,67.55024,19.93739,2.93187,2.69552,8.03713,0.31695,4.05354,Yes,Safe,Yes,No
2524,13.87535,397.44225,238.65329,363.67177,281.66233,379.9526,84.60877,242.0837,Yes,Safe,Yes,Yes
2525,7.01192,39.71268,18.80042,2.21849,0.20195,8.86658,0.80636,3.55867,Yes,Safe,Yes,No
2526,6.74341,31.33894,14.72573,3.46331,1.3651,1.5851,1.58541,5.08069,Yes,Safe,No,No
2527,9.9944,208.60474,55.01076,105.18788,164.74476,146.10066,0.38712,71.2861,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Methemoglobinemia",Yes,No
2528,5.21405,490.22554,38.37272,188.50264,382.20413,327.87225,73.74674,271.7237,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2529,0.43053,445.99238,249.07045,218.47105,183.86382,303.0179,42.15141,419.7737,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
2530,7.01337,29.79563,14.45186,2.91416,2.76272,2.56891,0.56396,7.50668,Yes,Safe,Yes,No
2531,8.16603,252.09365,33.81888,62.93835,70.4922,109.67077,15.7258,246.34168,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
2532,8.07263,41.51349,22.90524,3.69569,2.85416,1.94631,1.90399,4.62768,Yes,Safe,Yes,No
2533,8.91813,438.17255,280.79618,367.86397,352.93152,124.99401,57.28173,250.73091,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
